ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-11 05:00:00,3.2819792717780274,-9.398851544844264,13.617809227478352,3.2819792717780274,3.2819792717780274,-0.80778552070025,-0.80778552070025,-0.80778552070025,0.004248177641461716,0.004248177641461716,0.004248177641461716,-0.8120336983417118,-0.8120336983417118,-0.8120336983417118,0.0,0.0,0.0,2.4741937510777774
2025-10-11 06:00:00,3.276472676120926,-8.711011192852197,13.911071570526502,3.276472676120926,3.276472676120926,-0.721530430468938,-0.721530430468938,-0.721530430468938,0.0042460240742115685,0.0042460240742115685,0.0042460240742115685,-0.7257764545431498,-0.7257764545431498,-0.7257764545431498,0.0,0.0,0.0,2.554942245651988
2025-10-11 07:00:00,3.2709660804638268,-8.630020937953182,15.159879799648841,3.2709660804638268,3.2709660804638268,-0.6330441281874072,-0.6330441281874072,-0.6330441281874072,0.004318965685827825,0.004318965685827825,0.004318965685827825,-0.637363093873235,-0.637363093873235,-0.637363093873235,0.0,0.0,0.0,2.6379219522764195
2025-10-11 08:00:00,3.2654594848067253,-8.44664480576725,14.70740465703393,3.2654594848067253,3.2654594848067253,-0.5445451315265224,-0.5445451315265224,-0.5445451315265224,0.0034949102000933915,0.0034949102000933915,0.0034949102000933915,-0.5480400417266157,-0.5480400417266157,-0.5480400417266157,0.0,0.0,0.0,2.720914353280203
2025-10-11 09:00:00,3.259952889149624,-7.910658808061723,14.287925389863297,3.259952889149624,3.259952889149624,-0.45713206551340246,-0.45713206551340246,-0.45713206551340246,0.0019170329855761944,0.0019170329855761944,0.0019170329855761944,-0.4590490984989787,-0.4590490984989787,-0.4590490984989787,0.0,0.0,0.0,2.8028208236362215
2025-10-11 10:00:00,3.2544462934925247,-8.66295734063135,14.455864988303688,3.2544462934925247,3.2544462934925247,-0.37106916766905385,-0.37106916766905385,-0.37106916766905385,0.0005418520224502451,0.0005418520224502451,0.0005418520224502451,-0.3716110196915042,-0.3716110196915042,-0.3716110196915042,0.0,0.0,0.0,2.883377125823471
2025-10-11 11:00:00,3.2489396978354237,-8.340392414179828,14.121981825931822,3.2489396978354237,3.2489396978354237,-0.2869031413019447,-0.2869031413019447,-0.2869031413019447,6.280635745574458e-06,6.280635745574458e-06,6.280635745574458e-06,-0.28690942193769026,-0.28690942193769026,-0.28690942193769026,0.0,0.0,0.0,2.962036556533479
2025-10-11 12:00:00,3.2434331021783245,-8.818331573764162,14.702357373515794,3.2434331021783245,3.2434331021783245,-0.20613699364890317,-0.20613699364890317,-0.20613699364890317,-6.177174532721003e-05,-6.177174532721003e-05,-6.177174532721003e-05,-0.20607522190357597,-0.20607522190357597,-0.20607522190357597,0.0,0.0,0.0,3.0372961085294214
2025-10-11 13:00:00,3.237926506521223,-8.787550328135577,14.387551618362705,3.237926506521223,3.237926506521223,-0.1307418200041023,-0.1307418200041023,-0.1307418200041023,-0.0005700120701630908,-0.0005700120701630908,-0.0005700120701630908,-0.1301718079339392,-0.1301718079339392,-0.1301718079339392,0.0,0.0,0.0,3.1071846865171207
2025-10-11 14:00:00,3.2324199108641216,-9.284553536745461,13.933826006433492,3.2324199108641216,3.2324199108641216,-0.06207037493197279,-0.06207037493197279,-0.06207037493197279,-0.0018892405877200846,-0.0018892405877200846,-0.0018892405877200846,-0.06018113434425269,-0.06018113434425269,-0.06018113434425269,0.0,0.0,0.0,3.1703495359321487
